x,"y
"
2018-11-29,5761
2018-11-30,5740
2018-12-01,5733
2018-12-02,5719
2018-12-03,5701
2018-12-04,5696
2018-12-05,5691
2018-12-06,5739
2018-12-07,5740
2018-12-08,5775
2018-12-09,5772
2018-12-10,5807
2018-12-11,5841
2018-12-12,5900
2018-12-13,5926
2018-12-14,5931
2018-12-15,5958
2018-12-16,5986
2018-12-17,5989
2018-12-18,6016
2018-12-19,6026
2018-12-20,6020
2018-12-21,6028
2018-12-22,6058
2018-12-23,6067
2018-12-24,6064
2018-12-25,6043
2018-12-26,6032
2018-12-27,6029
2018-12-28,6009
2018-12-29,5999
2018-12-30,6048
2018-12-31,6030
2019-01-01,6016
2019-01-02,6007
2019-01-03,6002
2019-01-04,6028
2019-01-05,6026
2019-01-06,5995
2019-01-07,5968
2019-01-08,5982
2019-01-09,5967
2019-01-10,5966
2019-01-11,5951
2019-01-12,5942
2019-01-13,5934
2019-01-14,5908
2019-01-15,5913
2019-01-16,5889
2019-01-17,5908
2019-01-18,5935
2019-01-19,5958
2019-01-20,5952
2019-01-21,5950
2019-01-22,5934
2019-01-23,5945
2019-01-24,5943
2019-01-25,5980
2019-01-26,6005
2019-01-27,6044
2019-01-28,6050
2019-01-29,6106
2019-01-30,6117
2019-01-31,6132
2019-02-01,6149
2019-02-02,6165
2019-02-03,6188
2019-02-04,6185
2019-02-05,6193
2019-02-06,6220
2019-02-07,6277
2019-02-08,6307
2019-02-09,6336
2019-02-10,6348
2019-02-11,6364
2019-02-12,6379
2019-02-13,6418
2019-02-14,6436
2019-02-15,6481
2019-02-16,6525
2019-02-17,6545
2019-02-18,6587
2019-02-19,6616
2019-02-20,6638
2019-02-21,6608
2019-02-22,6616
2019-02-23,6630
2019-02-24,6648
2019-02-25,6658
2019-02-26,6665
2019-02-27,6681
2019-02-28,6487
2019-03-01,6467
2019-03-02,6511
2019-03-03,6556
2019-03-04,6601
2019-03-05,6640
2019-03-06,6659
2019-03-07,6691
2019-03-08,6741
2019-03-09,6789
2019-03-10,6872
2019-03-11,6846
2019-03-12,6864
2019-03-13,6872
2019-03-14,6897
2019-03-15,6914
2019-03-16,6911
2019-03-17,6922
2019-03-18,6899
2019-03-19,6901
2019-03-20,6916
2019-03-21,6923
2019-03-22,6932
2019-03-23,6948
2019-03-24,6958
2019-03-25,6983
2019-03-26,6992
2019-03-27,6987
2019-03-28,7051
2019-03-29,7146
2019-03-30,7211
2019-03-31,7210
2019-04-01,7216
2019-04-02,7200
2019-04-03,7208
2019-04-04,7207
2019-04-05,7206
2019-04-06,7207
2019-04-07,7209
2019-04-08,7209
2019-04-09,7206
2019-04-10,7184
2019-04-11,7228
2019-04-12,7242
2019-04-13,7257
2019-04-14,7272
2019-04-15,7273
2019-04-16,7298
2019-04-17,7299
2019-04-18,7302
2019-04-19,7299
2019-04-20,7297
2019-04-21,7279
2019-04-22,7262
2019-04-23,7256
2019-04-24,7262
2019-04-25,7243
2019-04-26,7254
2019-04-27,7269
2019-04-28,7235
2019-04-29,7213
2019-04-30,7146
2019-05-01,7150
2019-05-02,7150
2019-05-03,7118
2019-05-04,7130
2019-05-05,7107
2019-05-06,7106
2019-05-07,7071
2019-05-08,7031
2019-05-09,7009
2019-05-10,7016
2019-05-11,7015
2019-05-12,6995
2019-05-13,6994
2019-05-14,6989
2019-05-15,6999
2019-05-16,7008
2019-05-17,7023
2019-05-18,7016
2019-05-19,7044
2019-05-20,7028
2019-05-21,7023
2019-05-22,7020
2019-05-23,7012
2019-05-24,7017
2019-05-25,7015
2019-05-26,7030
2019-05-27,7017
2019-05-28,7010
2019-05-29,7022
2019-05-30,7077
2019-05-31,7034
2019-06-01,6986
2019-06-02,6980
2019-06-03,6962
2019-06-04,6946
2019-06-05,6920
2019-06-06,6887
2019-06-08,6833
2019-06-08,6833
2019-06-09,6825
2019-06-10,6811
2019-06-11,6799
2019-06-12,6791
2019-06-13,6761
2019-06-14,6737
